age,salaire_mensuel,statut_retraite,statut_salarie,depense_totale
74,3987.42,False,True,3476.88
22,2053.18,False,True,1798.19
66,1702.24,True,False,1451.61
53,1489.33,False,True,1259.7
78,2764.19,True,False,2401.85
81,1862.72,True,False,1534.47
62,1696.88,True,False,1495.25
79,1760.78,True,False,1436.95
66,2094.88,False,True,1826.19
77,932.68,True,False,800.59
38,2741.08,False,True,2311.44
74,1692.52,True,False,1249.68
59,2611.56,False,True,2339.09
23,895.0,False,False,800.54
36,1388.59,False,True,1212.4
68,1615.58,True,False,1385.38
74,2549.17,False,True,2201.75
66,1280.35,True,False,1078.71
71,1928.24,True,False,1685.05
23,2208.83,False,True,1773.14
53,2329.0,False,True,1940.28
51,2717.55,False,True,2252.87
30,3206.98,False,True,2690.66
33,3468.72,False,True,2864.84
24,1037.49,False,False,1001.46
46,500.0,False,True,406.18
27,1993.81,False,True,1781.97
18,2071.87,False,True,1797.36
23,1818.1,False,True,1366.24
75,1180.14,True,False,927.61
22,1325.53,False,False,1243.49
48,3285.15,False,True,2533.23
48,2327.6,False,True,2121.33
43,3929.39,False,True,3272.16
50,2665.93,False,True,2219.71
50,2708.29,False,True,2050.88
81,2042.95,False,True,1738.91
43,3431.39,False,True,2859.8
71,1661.07,True,False,1383.21
84,1554.3,True,False,1186.2
51,3401.39,False,True,2786.43
26,1982.73,False,True,1501.24
76,2322.83,False,True,2083.34
68,1791.49,True,False,1600.37
42,3323.53,False,True,2910.65
43,2542.28,False,True,2077.36
82,1424.07,True,False,1237.78
43,2300.11,False,True,2128.22
65,2050.25,True,False,1542.14
57,1522.0,False,True,1291.3
23,2320.15,False,True,1723.6
61,2241.15,True,False,1785.99
36,1146.07,False,True,1086.78
57,1975.23,False,True,1628.8
22,2978.92,False,True,2285.43
52,2703.0,False,True,2068.71
68,2944.57,False,True,2549.3
75,2418.07,True,False,2146.77
34,2465.05,False,True,2142.12
19,724.49,False,False,678.63
69,1664.65,True,False,1467.63
19,832.12,False,False,801.62
45,2192.44,False,True,1982.03
51,2227.74,False,True,2037.23
50,1832.06,False,True,1447.18
49,1470.35,False,True,1288.94
84,2794.96,True,False,2485.78
19,1519.57,False,True,1311.52
83,1869.14,True,False,1629.64
51,4518.57,False,True,3573.07
67,1980.4,True,False,1534.71
51,2242.52,False,True,1865.12
29,2275.08,False,True,1782.0
29,3148.13,False,True,2670.59
73,1600.11,True,False,1300.84
54,3792.37,False,True,3341.63
47,4279.84,False,True,3840.02
21,525.97,False,False,467.91
56,902.94,False,True,768.92
64,3671.77,False,True,2957.41
42,3772.47,False,True,3410.5
83,1149.04,False,True,924.53
59,3899.96,False,True,2835.92
19,756.45,False,False,671.01
79,1700.4,True,False,1452.72
43,500.0,False,True,402.57
53,2375.02,False,True,1985.58
28,3834.79,False,True,3591.15
46,3799.82,False,True,3153.99
34,2786.43,False,True,2196.62
52,4232.36,False,True,3896.74
59,1398.54,False,True,1156.93
18,2904.29,False,True,2417.34
74,2877.05,False,True,2449.26
48,3613.27,False,True,2969.16
19,932.69,False,False,801.58
83,1964.93,False,True,1546.09
54,1158.56,False,True,904.93
79,901.93,True,False,809.69
71,2149.26,True,False,1887.71
18,1229.36,False,True,1010.56
21,3167.76,False,True,2512.37
25,784.52,False,False,710.43
50,3379.36,False,True,2537.26
71,1895.4,True,False,1809.4
28,2961.05,False,True,2606.48
41,2904.65,False,True,2466.88
61,1145.79,True,False,1020.05
57,2737.72,False,True,2336.95
30,1403.01,False,True,1123.51
53,3207.72,False,True,2806.64
49,2598.96,False,True,2079.22
66,1241.53,True,False,1088.47
36,3574.64,False,True,3310.13
32,1912.78,False,True,1628.94
21,2025.16,False,True,1477.8
44,1990.52,False,True,1528.29
